time,x,y,z,yaw,throttle,roll_rate,pitch_rate,yaw_rate,x_ref,y_ref,z_ref,yaw_ref,mpc_time,ctrl_callback_time_history,metadata
4.76837158203125e-07,0.007766540162265301,-0.007559254299849272,0.018466882407665253,-0.01744476323851915,-0.9329941836505927,0.27051290345921647,0.051191792924336614,0.11144864391467102,0.0,0.0,-0.6,0.0,0.0016071796417236328,0.002173185348510742,Sim
0.010152816772460938,0.007787566632032394,-0.0076535530388355255,0.018643546849489212,-0.017431853611665275,-0.9331015139023545,0.27140647229672593,0.05126599850186803,0.11136565236504532,0.0,0.0,-0.6,0.0,0.0005407333374023438,0.001129150390625,1x Speed
0.0200808048248291,0.007809772156178951,-0.007749962154775858,0.018823916092514992,-0.017440186064309,-0.93317896420685,0.2723289195229118,0.0514292031614339,0.11141849968709115,0.0,0.0,-0.6,0.0,0.0006608963012695312,0.0011501312255859375,Horizon:3.0
0.030251026153564453,0.007859502919018269,-0.007950657978653908,0.019191816449165344,-0.017479424185994755,-0.9333186516983046,0.2749694820014135,0.05177467889568013,0.11166789927030236,0.0,0.0,-0.6,0.0,0.0006783008575439453,0.001298666000366211,Num Steps:20
0.040120601654052734,0.007885491475462914,-0.008055983111262321,0.019379153847694397,-0.017501457815570026,-0.9333893868232808,0.27661140508434146,0.05210685697709901,0.11180802803588798,0.0,0.0,-0.6,0.0,0.0008790493011474609,0.0015740394592285156,No Pyjoules
0.050214529037475586,0.007967638783156872,-0.00792139582335949,0.019440343603491783,-0.017526715211500687,-0.9334059347036046,0.27553627540404146,0.05320022791868021,0.11196839067287209,0.0,0.0,-0.6,0.0,0.0011792182922363281,0.0020673274993896484,0
0.060335397720336914,0.008133134804666042,-0.007671402767300606,0.019549423828721046,-0.017529881546404443,-0.9327879712260726,0.27049963743772143,0.05426432297007364,0.11198785879468223,0.0,0.0,-0.6,0.0,0.0012557506561279297,0.002236604690551758,0
0.07033681869506836,0.00821502972394228,-0.00754889938980341,0.019519131630659103,-0.017508586519335366,-0.9293259520740341,0.26310702168103317,0.054600887245279985,0.11185364541415341,0.0,0.0,-0.6,0.0,0.0010600090026855469,0.001817941665649414,0
0.08021259307861328,0.008295726031064987,-0.007426798343658447,0.019279712811112404,-0.017434127422285103,-0.9232551918210663,0.2517668978113468,0.05457784937783274,0.11138213616053282,0.0,0.0,-0.6,0.0,0.0011336803436279297,0.0019218921661376953,0
0.09035420417785645,0.008373413234949112,-0.007305239327251911,0.01874505914747715,-0.017278019839098716,-0.9156411366430589,0.23613563103083907,0.05365414385858174,0.11039118033764023,0.0,0.0,-0.6,0.0,0.0011119842529296875,0.002040386199951172,0
0.10019636154174805,0.008521635085344315,-0.007064880803227425,0.016632573679089546,-0.016805116113101086,-0.8981191582688167,0.19482353296476343,0.051863513869616046,0.1073866063734033,0.0,0.0,-0.6,0.0,0.0013108253479003906,0.0020568370819091797,0
0.11021780967712402,0.008592134341597557,-0.006947379559278488,0.015009481459856033,-0.016487190941410816,-0.8887046294882395,0.16948952510174148,0.049991700976814664,0.10536546574110339,0.0,0.0,-0.6,0.0,0.0010318756103515625,0.0018527507781982422,0
0.12003135681152344,0.008658941835165024,-0.0068293362855911255,0.013009435497224331,-0.01611452784627191,-0.8790675555258504,0.14224638688316235,0.046834720069206706,0.10299529070028247,0.0,0.0,-0.6,0.0,0.0010943412780761719,0.0019528865814208984,0
0.13013100624084473,0.008722230792045593,-0.006710418034344912,0.01063518412411213,-0.01570506052737244,-0.8693361553454637,0.11502901525852685,0.044667910029879944,0.1003894062050263,0.0,0.0,-0.6,0.0,0.0010788440704345703,0.0019724369049072266,0
0.14017820358276367,0.008842376992106438,-0.006463725119829178,0.004793064668774605,-0.014739262703400969,-0.8498444551566269,0.05786611318857628,0.03991836272445517,0.0942395611312271,0.0,0.0,-0.6,0.0,0.0015494823455810547,0.0025060176849365234,0
0.15012288093566895,0.008898424915969372,-0.006332073826342821,0.0013491575373336673,-0.014184048727718404,-0.8402653647624404,0.02941350639494573,0.03748363557061872,0.09070194896733375,0.0,0.0,-0.6,0.0,0.0011303424835205078,0.0018868446350097656,0
0.16022729873657227,0.008954828605055809,-0.006192693021148443,-0.0024250559508800507,-0.013589738174466664,-0.8308185597785471,0.0008733715160825024,0.03567901453329847,0.08691443184028437,0.0,0.0,-0.6,0.0,0.0013210773468017578,0.0021812915802001953,0
0.17046022415161133,0.009010548703372478,-0.00604288699105382,-0.006513528060168028,-0.01293383001796297,-0.8215849694284976,-0.027435171822032364,0.03402704342709561,0.08273309267003465,0.0,0.0,-0.6,0.0,0.0010349750518798828,0.001756906509399414,0
0.1802079677581787,0.009119108319282532,-0.005706646479666233,-0.015561296604573727,-0.011571827889591229,-0.8037951560096495,-0.08087275845409955,0.02971201895174659,0.07404786110303953,0.0,0.0,-0.6,0.0,0.0011610984802246094,0.0018260478973388672,0
0.190324068069458,0.009170426987111568,-0.0055209193378686905,-0.020487157627940178,-0.010879484428720526,-0.7953399870784239,-0.10580839782895506,0.027216091902276904,0.06963183431058709,0.0,0.0,-0.6,0.0,0.0012257099151611328,0.002115964889526367,0
0.2001326084136963,0.009219406172633171,-0.005320837255567312,-0.02565760165452957,-0.01016790233889177,-0.7871500931441902,-0.13132510345135562,0.024538361833222798,0.06509260866159086,0.0,0.0,-0.6,0.0,0.0020134449005126953,0.003276348114013672,0
